Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_1,3.45284815353392E-18,5.9169086273473E-18,0.0311310323619364,0,0,0,0.9908768618455,0.00193224199273723,-1.26558633720613E-19,1.0274980838522E-19,0.00193224199273723,-1.78493428935872E-21,0.00277181976516411,0,0,0,0,0,0,package://dummy_urdf/meshes/Link_1.STL,1,0.168627450980392,0.168627450980392,1,0,0,0,0,0,0,package://dummy_urdf/meshes/Link_1.STL,,Link 1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_2,-4.33680868994202E-19,-0.0218746338869585,0.0584002783909983,0,0,0,0.595046244174356,0.00111228081620128,6.09863722023096E-20,4.40457132572236E-20,0.00088455656527034,5.94084456703445E-05,0.000786586541078942,0,0,0,0,0,0,package://dummy_urdf/meshes/Link_2.STL,1,0.549019607843137,0,1,0,0,0,0,0,0,package://dummy_urdf/meshes/Link_2.STL,,Link 2-1,Origin_Joint_1,Axis_Joint_1,Joint_1,continuous,0,0,0.080875,0,0,0.099642,Link_1,0,0,1,,,,,,,,,,,,
Link_3,-0.0500963270913242,-0.0463282465480843,0.181541810274639,0,0,0,0.917184046508576,0.0138200547681186,-0.000355406342064532,0.00331422153353445,0.0137432272963453,0.00128794094233421,0.00272435445345874,0,0,0,0,0,0,package://dummy_urdf/meshes/Link_3.STL,1,1,0,1,0,0,0,0,0,0,package://dummy_urdf/meshes/Link_3.STL,,Link 3-1,Origin_Joint_2,Axis_Joint_2,Joint_2,continuous,0,0,0.0729,0,0,0,Link_2,0,-1,0,,,,,,,,,,,,
Link_4,-0.0262805457025431,-0.00581840309059909,0.089983338733109,0,0,0,0.627049529568899,0.000770744672626453,4.64450389757546E-05,0.00016982255346519,0.00215655937628312,-0.000130568285779622,0.00191645497186894,0,0,0,0,0,0,package://dummy_urdf/meshes/Link_4.STL,0.341176470588235,0.83921568627451,0.411764705882353,1,0,0,0,0,0,0,package://dummy_urdf/meshes/Link_4.STL,,Link 4-1,Origin_Joint_3,Axis_Joint_3,Joint_3,continuous,-0.1064,0,0.38559,0,0.60304,0,Link_3,0,1,0,,,,,,,,,,,,
Link_5,-0.0235787688200574,3.46944695195361E-16,-4.44089209850063E-16,0,0,0,1.7525834915569,0.00241236974458071,-2.48011246956059E-18,3.03576608295941E-18,0.0178130242879475,1.51788304147971E-18,0.0180488889834462,0,0,0,0,0,0,package://dummy_urdf/meshes/Link_5.STL,1,0,0.501960784313725,1,0,0,0,0,0,0,package://dummy_urdf/meshes/Link_5.STL,,Link 5-1,Origin_Joint_4,Axis_Joint_4,Joint_4,continuous,0.18399,-0.003,0.1,0.23732,0,0,Link_4,1,0,0,,,,,,,,,,,,
Link_6,0.00389072410438487,-1.52655665885959E-16,0.00388651691525255,0,0,0,0.19600796507661,0.000192825843805829,7.79270311473956E-20,-4.83685916802688E-05,0.000123065110112774,-4.06575814682064E-20,0.000192930506049025,0,0,0,0,0,0,package://dummy_urdf/meshes/Link_6.STL,0.0392156862745098,0.490196078431373,0.709803921568627,1,0,0,0,0,0,0,package://dummy_urdf/meshes/Link_6.STL,,Link 6-1,Origin_Joint_5,Axis_Joint_5,Joint_5,continuous,0.24141,0,0,0,0,0,Link_5,0,1,0,,,,,,,,,,,,
Gripper,0.0752759854032844,2.77555756156289E-17,5.55111512312578E-17,0,0,0,0.178504764370265,0.000372353878585998,1.38913403349705E-19,-2.58345048912562E-19,0.000297871186553816,0.000147810410105188,0.000457931478879934,0,0,0,0,0,0,package://dummy_urdf/meshes/Gripper.STL,1,1,1,1,0,0,0,0,0,0,package://dummy_urdf/meshes/Gripper.STL,,Gripper-1,Origin_Joint_6,Axis_Joint_6,Joint_6,continuous,0.02049,0,0.020468,0,-0.78486,0,Link_6,1,0,0,,,,,,,,,,,,
